job_id,industry_name,inferred,type
3691799472,Higher Education,0,Disability insurance
3692300220,Oil and Gas,0,Medical insurance
3692300220,Oil and Gas,0,Vision insurance
3692300220,Oil and Gas,0,Dental insurance
3692300220,Oil and Gas,0,401(k)
3692300372,Financial Services,1,401(k)
3692300372,Real Estate,1,401(k)
3692300372,Financial Services,1,Vision insurance
3692300372,Real Estate,1,Vision insurance
3692300409,"Transportation, Logistics, Supply Chain and Storage",0,Medical insurance
3692300409,Non-profit Organizations,0,Medical insurance
3692300409,"Transportation, Logistics, Supply Chain and Storage",0,Vision insurance
3692300409,Non-profit Organizations,0,Vision insurance
3692300409,"Transportation, Logistics, Supply Chain and Storage",0,Dental insurance
3692300409,Non-profit Organizations,0,Dental insurance
3692300409,"Transportation, Logistics, Supply Chain and Storage",0,401(k)
3692300409,Non-profit Organizations,0,401(k)
3692300409,"Transportation, Logistics, Supply Chain and Storage",0,Paid maternity leave
3692300409,Non-profit Organizations,0,Paid maternity leave
3692300409,"Transportation, Logistics, Supply Chain and Storage",0,Paid paternity leave
3692300409,Non-profit Organizations,0,Paid paternity leave
3692300409,"Transportation, Logistics, Supply Chain and Storage",0,Tuition assistance
3692300409,Non-profit Organizations,0,Tuition assistance
3692300409,"Transportation, Logistics, Supply Chain and Storage",0,Disability insurance
3692300409,Non-profit Organizations,0,Disability insurance
3692301165,Retail,1,Pension plan
3692301169,Real Estate,0,Medical insurance
3692301169,Legal Services,0,Medical insurance
3692301169,Real Estate,0,Vision insurance
3692301169,Legal Services,0,Vision insurance
3692301169,Real Estate,0,Dental insurance
3692301169,Legal Services,0,Dental insurance
3692303024,Hospitals and Health Care,0,Medical insurance
3692303024,Hospitals and Health Care,0,Vision insurance
3692303024,Hospitals and Health Care,0,Dental insurance
3692303024,Hospitals and Health Care,0,401(k)
3696355954,Staffing and Recruiting,0,Medical insurance
3696355954,Staffing and Recruiting,0,Vision insurance
3696355954,Staffing and Recruiting,0,Dental insurance
3696355954,Staffing and Recruiting,0,401(k)
3696362362,Food and Beverage Services,1,Disability insurance
3696362362,Food and Beverage Services,1,401(k)
3696368461,International Trade and Development,1,401(k)
3696369309,International Trade and Development,1,401(k)
3696371262,International Trade and Development,1,401(k)
3696372105,International Trade and Development,1,401(k)
3696373506,Real Estate,1,Medical insurance
3696373506,Real Estate,1,401(k)
3696375254,Mental Health Care,0,Medical insurance
3696375254,Mental Health Care,0,Vision insurance
3696375254,Mental Health Care,0,Dental insurance
3696375254,Mental Health Care,0,Disability insurance
3696388859,Hospitals and Health Care,1,Medical insurance
3696388859,Wellness and Fitness Services,1,Medical insurance
3696388859,Insurance,1,Medical insurance
3696388859,Hospitals and Health Care,1,401(k)
3696388859,Wellness and Fitness Services,1,401(k)
3696388859,Insurance,1,401(k)
3696388859,Hospitals and Health Care,1,Disability insurance
3696388859,Wellness and Fitness Services,1,Disability insurance
3696388859,Insurance,1,Disability insurance
3696394454,Defense and Space Manufacturing,1,401(k)
3696394454,"Appliances, Electrical, and Electronics Manufacturing",1,401(k)
3696394454,Defense and Space Manufacturing,1,Disability insurance
3696394454,"Appliances, Electrical, and Electronics Manufacturing",1,Disability insurance
3696396357,Financial Services,0,Medical insurance
3696396357,Financial Services,0,Vision insurance
3696396357,Financial Services,0,Dental insurance
3696396357,Financial Services,0,401(k)
3696396361,Defense and Space Manufacturing,1,401(k)
3696396361,"Appliances, Electrical, and Electronics Manufacturing",1,401(k)
3696396361,Defense and Space Manufacturing,1,Disability insurance
3696396361,"Appliances, Electrical, and Electronics Manufacturing",1,Disability insurance
3699944307,Environmental Services,0,Medical insurance
3699944307,Environmental Services,0,Dental insurance
3699944307,Environmental Services,0,401(k)
3699944307,Environmental Services,0,Disability insurance
3699947010,,0,Medical insurance
3699947010,,0,Vision insurance
3699947010,,0,Dental insurance
3699947010,,0,401(k)
3699953637,Hospitals and Health Care,0,Medical insurance
3699953637,Hospitals and Health Care,0,Vision insurance
3699953637,Hospitals and Health Care,0,Dental insurance
3699953637,Hospitals and Health Care,0,401(k)
3699953637,Hospitals and Health Care,0,Pension plan
3699953637,Hospitals and Health Care,1,Disability insurance
3700106733,Manufacturing,0,Medical insurance
3700106733,Manufacturing,0,Vision insurance
3700106733,Manufacturing,0,Dental insurance
3700106733,Manufacturing,0,401(k)
3700111693,Accounting,0,Medical insurance
3700111693,Accounting,0,Vision insurance
3700111693,Accounting,0,Dental insurance
3700111693,Accounting,0,401(k)
3700111693,Accounting,0,Paid paternity leave
3700111693,Accounting,0,Paid maternity leave
3700124761,Staffing and Recruiting,0,Medical insurance
3700124761,Staffing and Recruiting,0,401(k)
3700124761,Staffing and Recruiting,0,Dental insurance
3700124761,Staffing and Recruiting,0,Vision insurance
3700124761,Staffing and Recruiting,0,Disability insurance
3700138521,Machinery Manufacturing,0,Medical insurance
3700154162,Hospitals and Health Care,1,401(k)
3700154162,Market Research,1,401(k)
3700154162,Online Audio and Video Media,1,401(k)
3700154162,Hospitals and Health Care,1,Disability insurance
3700154162,Market Research,1,Disability insurance
3700154162,Online Audio and Video Media,1,Disability insurance
3690664476,Real Estate,0,Medical insurance
3690664476,Real Estate,0,Vision insurance
3690664476,Real Estate,0,Dental insurance
3690664476,Real Estate,0,401(k)
3690664476,Real Estate,0,Disability insurance
3690665137,Real Estate,0,Medical insurance
3690665137,Real Estate,0,Vision insurance
3690665137,Real Estate,0,Dental insurance
3690673180,,0,Medical insurance
3690673180,,0,Vision insurance
3690673180,,0,Dental insurance
3690673180,,0,401(k)
3690804650,Pharmaceutical Manufacturing,0,Medical insurance
3690804650,Pharmaceutical Manufacturing,0,Vision insurance
3690804650,Pharmaceutical Manufacturing,0,Dental insurance
3690804650,Pharmaceutical Manufacturing,0,401(k)
3690804650,Pharmaceutical Manufacturing,0,Paid maternity leave
3690804650,Pharmaceutical Manufacturing,0,Paid paternity leave
3690804650,Pharmaceutical Manufacturing,0,Tuition assistance
3690804650,Pharmaceutical Manufacturing,0,Disability insurance
3690813856,Hospitality,0,Medical insurance
3690813856,Hospitality,0,Vision insurance
3690813856,Hospitality,0,Dental insurance
3690813856,Hospitality,0,401(k)
3690813856,Hospitality,0,Paid maternity leave
3690813856,Hospitality,0,Commuter benefits
3690813856,Hospitality,0,Paid paternity leave
3690813856,Hospitality,0,Disability insurance
3690819024,Food and Beverage Services,0,Medical insurance
3690819024,Food and Beverage Services,0,Vision insurance
3690819024,Food and Beverage Services,0,Dental insurance
3690819024,Food and Beverage Services,0,401(k)
3690819024,Food and Beverage Services,0,Disability insurance
3690821627,Leasing Non-residential Real Estate,0,Medical insurance
3690821627,Investment Management,0,Medical insurance
3690821627,Leasing Non-residential Real Estate,0,Vision insurance
3690821627,Investment Management,0,Vision insurance
3690821627,Leasing Non-residential Real Estate,0,Dental insurance
3690821627,Investment Management,0,Dental insurance
3690821627,Leasing Non-residential Real Estate,0,401(k)
3690821627,Investment Management,0,401(k)
3690821627,Leasing Non-residential Real Estate,0,Paid maternity leave
3690821627,Investment Management,0,Paid maternity leave
3690821627,Leasing Non-residential Real Estate,0,Paid paternity leave
3690821627,Investment Management,0,Paid paternity leave
3690821627,Leasing Non-residential Real Estate,0,Tuition assistance
3690821627,Investment Management,0,Tuition assistance
3690821627,Leasing Non-residential Real Estate,0,Disability insurance
3690821627,Investment Management,0,Disability insurance
3690821627,Leasing Non-residential Real Estate,0,Commuter benefits
3690821627,Investment Management,0,Commuter benefits
3690828940,Pharmaceutical Manufacturing,0,401(k)
3690828940,Pharmaceutical Manufacturing,0,Paid paternity leave
3690828940,Pharmaceutical Manufacturing,0,Dental insurance
3690828940,Pharmaceutical Manufacturing,0,Vision insurance
3690828940,Pharmaceutical Manufacturing,0,Medical insurance
3690828940,Pharmaceutical Manufacturing,0,Student loan assistance
3690828940,Pharmaceutical Manufacturing,0,Paid maternity leave
3690828940,Pharmaceutical Manufacturing,1,Tuition assistance
3690832043,Plastics Manufacturing,0,Medical insurance
3690832043,Plastics Manufacturing,0,Vision insurance
3690832043,Plastics Manufacturing,0,Dental insurance
3690832043,Plastics Manufacturing,0,401(k)
3690832043,Plastics Manufacturing,0,Paid paternity leave
3690832043,Plastics Manufacturing,0,Paid maternity leave
3690832043,Plastics Manufacturing,0,Child care support
3690832043,Plastics Manufacturing,0,Disability insurance
3690834347,Wholesale Building Materials,0,Medical insurance
3690834347,Wholesale Building Materials,0,Vision insurance
3690834347,Wholesale Building Materials,0,Dental insurance
3690834347,Wholesale Building Materials,0,401(k)
3690834347,Wholesale Building Materials,0,Paid maternity leave
3690834347,Wholesale Building Materials,0,Paid paternity leave
3690834347,Wholesale Building Materials,0,Disability insurance
3690835135,Financial Services,0,Medical insurance
3690835135,Business Consulting and Services,0,Medical insurance
3690835135,"Technology, Information and Internet",0,Medical insurance
3690835135,Financial Services,0,Vision insurance
3690835135,Business Consulting and Services,0,Vision insurance
3690835135,"Technology, Information and Internet",0,Vision insurance
3690835135,Financial Services,0,Dental insurance
3690835135,Business Consulting and Services,0,Dental insurance
3690835135,"Technology, Information and Internet",0,Dental insurance
3690835135,Financial Services,0,401(k)
3690835135,Business Consulting and Services,0,401(k)
3690835135,"Technology, Information and Internet",0,401(k)
3690835330,Retail Apparel and Fashion,0,Medical insurance
3690835330,Retail Apparel and Fashion,0,Vision insurance
3690835330,Retail Apparel and Fashion,0,Dental insurance
3690835330,Retail Apparel and Fashion,0,401(k)
3690835330,Retail Apparel and Fashion,0,Paid maternity leave
3690837484,,0,Medical insurance
3690837484,,0,Vision insurance
3690837484,,0,Dental insurance
3690840013,Food and Beverage Services,1,Medical insurance
3690841034,Government Administration,0,Medical insurance
3690841034,Government Administration,0,Pension plan
3690841034,Government Administration,0,Tuition assistance
3690841533,Food and Beverage Services,0,Medical insurance
3690841533,Food and Beverage Services,0,Vision insurance
3690841533,Food and Beverage Services,0,Dental insurance
3690841533,Food and Beverage Services,0,401(k)
3690841533,Food and Beverage Services,0,Tuition assistance
3690841599,"Appliances, Electrical, and Electronics Manufacturing",0,Medical insurance
3690841599,"Appliances, Electrical, and Electronics Manufacturing",0,Vision insurance
3690841599,"Appliances, Electrical, and Electronics Manufacturing",0,Dental insurance
3690841599,"Appliances, Electrical, and Electronics Manufacturing",0,401(k)
3690843414,,0,Medical insurance
3690843414,,0,Dental insurance
3690843414,,0,401(k)
3690843414,,0,Paid maternity leave
3690843414,,0,Disability insurance
3690844311,Insurance,0,Medical insurance
3690844311,Insurance,0,Vision insurance
3690844311,Insurance,0,Dental insurance
3690844311,Insurance,0,401(k)
3690844895,Business Consulting and Services,0,Medical insurance
3690844895,Business Consulting and Services,0,Vision insurance
3690844895,Business Consulting and Services,0,Dental insurance
3690844895,Business Consulting and Services,0,401(k)
3690844895,Business Consulting and Services,0,Tuition assistance
3690844895,Business Consulting and Services,0,Disability insurance
3690847441,IT Services and IT Consulting,0,Medical insurance
3690847441,IT Services and IT Consulting,0,Vision insurance
3690847441,IT Services and IT Consulting,0,Dental insurance
3690847441,IT Services and IT Consulting,0,401(k)
3690847441,IT Services and IT Consulting,0,Tuition assistance
3690847441,IT Services and IT Consulting,0,Disability insurance
3690849145,,0,Medical insurance
3690849145,,0,Dental insurance
3690849145,,0,Disability insurance
3690849145,,0,Paid maternity leave
3690849145,,0,401(k)
3690853209,Wholesale,0,Medical insurance
3690853209,Wholesale,0,Vision insurance
3690853209,Wholesale,0,Dental insurance
3690853209,Wholesale,0,401(k)
3690853209,Wholesale,0,Paid maternity leave
3690859113,Wellness and Fitness Services,0,Medical insurance
3690859113,Hospitals and Health Care,0,Medical insurance
3690859113,Wellness and Fitness Services,0,Vision insurance
3690859113,Hospitals and Health Care,0,Vision insurance
3690859113,Wellness and Fitness Services,0,Dental insurance
3690859113,Hospitals and Health Care,0,Dental insurance
3690859113,Wellness and Fitness Services,0,401(k)
3690859113,Hospitals and Health Care,0,401(k)
3690860158,IT Services and IT Consulting,0,401(k)
3690868934,Biotechnology Research,1,Medical insurance
3690868934,Biotechnology Research,1,Dental insurance
3690868934,Biotechnology Research,1,Vision insurance
3690868934,Biotechnology Research,1,401(k)
3690868934,Biotechnology Research,1,Paid maternity leave
3690868934,Biotechnology Research,1,Paid paternity leave
3690868934,Biotechnology Research,1,Commuter benefits
3690869468,Construction,0,Medical insurance
3690869468,Construction,0,Vision insurance
3690869468,Construction,0,Dental insurance
3690869468,Construction,0,401(k)
3690869468,Construction,0,Paid maternity leave
3690869468,Construction,0,Paid paternity leave
3690869468,Construction,0,Disability insurance
3690870151,Real Estate,0,Medical insurance
3690870151,Real Estate,0,Dental insurance
3690870151,Real Estate,0,Vision insurance
3690870151,Real Estate,0,401(k)
3690870497,Staffing and Recruiting,0,Medical insurance
3690870497,Staffing and Recruiting,0,Vision insurance
3690870497,Staffing and Recruiting,0,Dental insurance
3690870497,Staffing and Recruiting,0,401(k)
3690870497,Staffing and Recruiting,0,Tuition assistance
3690870497,Staffing and Recruiting,0,Disability insurance
3690876465,Hospitality,1,401(k)
3692338006,Architecture and Planning,0,Medical insurance
3692338006,Architecture and Planning,0,401(k)
3692362958,Software Development,0,Medical insurance
3692362958,Spectator Sports,0,Medical insurance
3692362958,Entertainment Providers,0,Medical insurance
3692362958,Software Development,0,Vision insurance
3692362958,Spectator Sports,0,Vision insurance
3692362958,Entertainment Providers,0,Vision insurance
3692362958,Software Development,0,Dental insurance
3692362958,Spectator Sports,0,Dental insurance
3692362958,Entertainment Providers,0,Dental insurance
3692362958,Software Development,0,401(k)
3692362958,Spectator Sports,0,401(k)
3692362958,Entertainment Providers,0,401(k)
3692369039,Public Relations and Communications Services,1,401(k)
3696987686,Retail,1,401(k)
3696990991,Retail,1,401(k)
3696990992,Retail,1,401(k)
3696990993,Retail,1,401(k)
3696993074,Retail,1,401(k)
3696993898,Retail,1,401(k)
3696993899,Retail,1,401(k)
3696994820,Retail,1,401(k)
3696994822,Retail,1,401(k)
3696994827,Retail,1,401(k)
3696994828,Retail,1,401(k)
3696994861,Retail,1,401(k)
3696995419,Retail,1,401(k)
3696995462,Retail,1,401(k)
3696995466,Retail,1,401(k)
3696995467,Retail,1,401(k)
3696995468,Retail,1,401(k)
3696996123,Retail,1,401(k)
3696997068,Retail,1,401(k)
3696997069,Retail,1,401(k)
3696997071,Retail,1,401(k)
3696998251,Research Services,1,Disability insurance
3696998251,Research Services,1,401(k)
3700191806,Hospitals and Health Care,1,Disability insurance
3700191806,Hospitals and Health Care,1,401(k)
3700194711,Hospitals and Health Care,0,Medical insurance
3700194711,Hospitals and Health Care,0,Vision insurance
3700194711,Hospitals and Health Care,0,Dental insurance
3700194711,Hospitals and Health Care,0,401(k)
3700194711,Hospitals and Health Care,0,Disability insurance
3700333196,Government Administration,0,401(k)
3700333196,Government Administration,0,Medical insurance
3700333196,Government Administration,1,Dental insurance
3700333196,Government Administration,1,Vision insurance
3700345653,Architecture and Planning,1,401(k)
3700345653,Architecture and Planning,1,Dental insurance
3700345653,Architecture and Planning,1,Medical insurance
3700345653,Architecture and Planning,1,Vision insurance
3700347882,Packaging and Containers Manufacturing,0,Medical insurance
3700347882,Packaging and Containers Manufacturing,0,Vision insurance
3700347882,Packaging and Containers Manufacturing,0,Dental insurance
3700347882,Packaging and Containers Manufacturing,0,401(k)
3700348353,IT Services and IT Consulting,0,Medical insurance
3700348353,IT Services and IT Consulting,0,Vision insurance
3700348353,IT Services and IT Consulting,0,Dental insurance
3700348353,IT Services and IT Consulting,0,401(k)
3700348353,IT Services and IT Consulting,0,Paid maternity leave
3700359414,Wellness and Fitness Services,0,Medical insurance
3700359414,Wellness and Fitness Services,0,Vision insurance
3700359414,Wellness and Fitness Services,0,Dental insurance
3700359414,Wellness and Fitness Services,0,401(k)
3700362103,Food and Beverage Services,0,Medical insurance
3700362103,Food and Beverage Services,0,Vision insurance
3700362103,Food and Beverage Services,0,Dental insurance
3700362103,Food and Beverage Services,0,Commuter benefits
3700365105,,0,Medical insurance
3700365105,,0,Vision insurance
3700365105,,0,Dental insurance
3700365105,,0,401(k)
3700368597,Real Estate,0,Medical insurance
3700368597,Real Estate,0,Vision insurance
3700368597,Real Estate,0,Dental insurance
3700368597,Real Estate,0,401(k)
3700368597,Real Estate,0,Disability insurance
3700370547,Architecture and Planning,0,Medical insurance
3700370547,Architecture and Planning,0,Vision insurance
3700370547,Architecture and Planning,0,Dental insurance
3700370547,Architecture and Planning,0,401(k)
3700374036,Civic and Social Organizations,0,Medical insurance
3700374036,Civic and Social Organizations,0,Disability insurance
3700374036,Civic and Social Organizations,0,401(k)
3700377536,Wholesale,0,Medical insurance
3700377536,Wholesale,0,Vision insurance
3700377536,Wholesale,0,Dental insurance
3700377536,Wholesale,0,401(k)
3700381160,,0,Medical insurance
3700381160,,0,Vision insurance
3700381160,,0,Dental insurance
3700381160,,0,401(k)
3700382987,Primary and Secondary Education,0,Medical insurance
3700382987,Primary and Secondary Education,0,Vision insurance
3700382987,Primary and Secondary Education,0,Dental insurance
3700382987,Primary and Secondary Education,0,401(k)
3700388143,Hospitals and Health Care,0,Medical insurance
3700388143,Hospitals and Health Care,0,Vision insurance
3700388143,Hospitals and Health Care,0,Dental insurance
3700388143,Hospitals and Health Care,0,401(k)
3700389730,,0,Medical insurance
3700389730,,0,Vision insurance
3700389730,,0,Dental insurance
3700389730,,0,401(k)
3700389730,,0,Disability insurance
3700392403,,0,Medical insurance
3700392403,,0,Vision insurance
3700392403,,0,Dental insurance
3700392403,,0,401(k)
3700392403,,0,Disability insurance
3700398203,Medical Practices,0,Medical insurance
3700398203,Medical Practices,0,Vision insurance
3700398203,Medical Practices,0,Dental insurance
3700398203,Medical Practices,0,401(k)
3700504344,Truck Transportation,1,Disability insurance
3700504344,Truck Transportation,1,401(k)
3700536480,Entertainment Providers,1,Medical insurance
3700536480,Entertainment Providers,1,Disability insurance
3700536480,Entertainment Providers,1,401(k)
3700542410,Entertainment Providers,1,Medical insurance
3700542410,Entertainment Providers,1,Disability insurance
3700542410,Entertainment Providers,1,401(k)
3700542993,Financial Services,1,401(k)
3700544773,Food and Beverage Services,1,401(k)
3700545776,Wholesale Building Materials,1,Disability insurance
3700545776,Wholesale Building Materials,1,401(k)
3700545783,Financial Services,1,401(k)
3700545792,Financial Services,1,401(k)
3700545891,Non-profit Organizations,1,Vision insurance
3700545891,Non-profit Organizations,1,Disability insurance
3700547703,Non-profit Organizations,1,Vision insurance
3700547703,Non-profit Organizations,1,Disability insurance
3700548312,Software Development,1,401(k)
3700548312,Software Development,1,Disability insurance
3700549213,Staffing and Recruiting,1,401(k)
3700549414,Retail Building Materials and Garden Equipment,1,401(k)
3700549640,Construction,1,Disability insurance
3700549696,IT Services and IT Consulting,1,Vision insurance
3700549696,IT Services and IT Consulting,1,Disability insurance
3700549721,Sporting Goods Manufacturing,1,401(k)
3700549721,Sporting Goods Manufacturing,1,Medical insurance
3700549721,Sporting Goods Manufacturing,1,Vision insurance
3700551067,Staffing and Recruiting,1,401(k)
3700551241,"Appliances, Electrical, and Electronics Manufacturing",1,401(k)
3700551241,"Appliances, Electrical, and Electronics Manufacturing",1,Disability insurance
3700551805,Motor Vehicle Manufacturing,1,401(k)
3700551805,Industrial Machinery Manufacturing,1,401(k)
3700551805,Truck Transportation,1,401(k)
3700551805,Motor Vehicle Manufacturing,1,Tuition assistance
3700551805,Industrial Machinery Manufacturing,1,Tuition assistance
3700551805,Truck Transportation,1,Tuition assistance
3700552592,Sporting Goods Manufacturing,1,401(k)
3700552592,Sporting Goods Manufacturing,1,Medical insurance
3700552592,Sporting Goods Manufacturing,1,Vision insurance
3700553388,Construction,1,Disability insurance
3700553886,Mental Health Care,1,401(k)
3700553886,Hospitals and Health Care,1,401(k)
3700553886,Wellness and Fitness Services,1,401(k)
3700555134,Construction,1,Disability insurance
3700555649,Software Development,0,Medical insurance
3700555649,Software Development,0,Vision insurance
3700555649,Software Development,0,Dental insurance
3700555649,Software Development,0,401(k)
3700559014,Mental Health Care,1,401(k)
3700559014,Hospitals and Health Care,1,401(k)
3700559014,Wellness and Fitness Services,1,401(k)
3700560001,Hospitals and Health Care,1,Disability insurance
3700560001,Mental Health Care,1,Disability insurance
85008768,Insurance,0,Medical insurance
85008768,Insurance,0,Vision insurance
85008768,Insurance,0,Dental insurance
85008768,Insurance,0,401(k)
85008768,Insurance,0,Paid maternity leave
85008768,Insurance,0,Paid paternity leave
967848246,Software Development,1,401(k)
1483357774,"Movies, Videos, and Sound",0,Medical insurance
1483357774,"Movies, Videos, and Sound",0,Vision insurance
1483357774,"Movies, Videos, and Sound",0,Dental insurance
1535492735,Construction,0,Medical insurance
1535492735,Truck Transportation,0,Medical insurance
1535492735,Construction,0,Vision insurance
1535492735,Truck Transportation,0,Vision insurance
1535492735,Construction,0,Dental insurance
1535492735,Truck Transportation,0,Dental insurance
2634247615,Staffing and Recruiting,1,401(k)
2634247615,Staffing and Recruiting,1,Vision insurance
2634247615,Staffing and Recruiting,1,Dental insurance
2730408164,Mental Health Care,0,Medical insurance
2730408164,Mental Health Care,0,Vision insurance
2730408164,Mental Health Care,0,Dental insurance
2730408164,Mental Health Care,0,401(k)
2730408164,Mental Health Care,0,Commuter benefits
2730408164,Mental Health Care,0,Tuition assistance
3047547711,Law Practice,0,Medical insurance
3047547711,Law Practice,0,Vision insurance
3047547711,Law Practice,0,Dental insurance
3047547711,Law Practice,0,401(k)
3108036575,Construction,1,401(k)
3243289926,Non-profit Organizations,0,Medical insurance
3243289926,Philanthropic Fundraising Services,0,Medical insurance
3243289926,Civic and Social Organizations,0,Medical insurance
3243289926,Non-profit Organizations,0,Vision insurance
3243289926,Philanthropic Fundraising Services,0,Vision insurance
3243289926,Civic and Social Organizations,0,Vision insurance
3243289926,Non-profit Organizations,0,Dental insurance
3243289926,Philanthropic Fundraising Services,0,Dental insurance
3243289926,Civic and Social Organizations,0,Dental insurance
3243289926,Non-profit Organizations,0,401(k)
3243289926,Philanthropic Fundraising Services,0,401(k)
3243289926,Civic and Social Organizations,0,401(k)
3243289926,Non-profit Organizations,0,Paid maternity leave
3243289926,Philanthropic Fundraising Services,0,Paid maternity leave
3243289926,Civic and Social Organizations,0,Paid maternity leave
3243289926,Non-profit Organizations,0,Paid paternity leave
3243289926,Philanthropic Fundraising Services,0,Paid paternity leave
3243289926,Civic and Social Organizations,0,Paid paternity leave
3243289926,Non-profit Organizations,0,Disability insurance
3243289926,Philanthropic Fundraising Services,0,Disability insurance
3243289926,Civic and Social Organizations,0,Disability insurance
3268185281,Construction,0,Medical insurance
3268185281,Facilities Services,0,Medical insurance
3268185281,Construction,0,Vision insurance
3268185281,Facilities Services,0,Vision insurance
3268185281,Construction,0,Dental insurance
3268185281,Facilities Services,0,Dental insurance
3268185281,Construction,0,401(k)
3268185281,Facilities Services,0,401(k)
3326588170,Medical Equipment Manufacturing,0,Medical insurance
3326588170,Medical Equipment Manufacturing,0,Dental insurance
3326588170,Medical Equipment Manufacturing,0,401(k)
3373346816,Retail,0,Medical insurance
3373346816,Retail Luxury Goods and Jewelry,0,Medical insurance
3373346816,Retail,0,Vision insurance
3373346816,Retail Luxury Goods and Jewelry,0,Vision insurance
3373346816,Retail,0,Dental insurance
3373346816,Retail Luxury Goods and Jewelry,0,Dental insurance
3373346816,Retail,0,401(k)
3373346816,Retail Luxury Goods and Jewelry,0,401(k)
3373346816,Retail,0,Disability insurance
3373346816,Retail Luxury Goods and Jewelry,0,Disability insurance
3395626440,Hospitals and Health Care,0,Dental insurance
3395626440,Hospitals and Health Care,0,401(k)
3395626440,Hospitals and Health Care,0,Vision insurance
3395626440,Hospitals and Health Care,0,Medical insurance
3422104915,Wellness and Fitness Services,0,Medical insurance
3422104915,Wellness and Fitness Services,0,Vision insurance
3422104915,Wellness and Fitness Services,0,Dental insurance
3422104915,Wellness and Fitness Services,0,Disability insurance
3442372601,Banking,0,Medical insurance
3442372601,Banking,0,Vision insurance
3442372601,Banking,0,Dental insurance
3442372601,Banking,0,401(k)
3442372601,Banking,0,Paid paternity leave
3442372601,Banking,0,Tuition assistance
3442372601,Banking,0,Disability insurance
3487275706,Hospitality,0,Medical insurance
3487275706,Hospitality,0,Vision insurance
3487275706,Hospitality,0,Dental insurance
3487275706,Hospitality,0,401(k)
3487275706,Hospitality,0,Disability insurance
3529464114,Aviation and Aerospace Component Manufacturing,1,401(k)
3529464114,Aviation and Aerospace Component Manufacturing,1,Dental insurance
3529464114,Aviation and Aerospace Component Manufacturing,1,Medical insurance
3529464114,Aviation and Aerospace Component Manufacturing,1,Vision insurance
3564601168,Retail Apparel and Fashion,0,Medical insurance
3564601168,Retail Apparel and Fashion,0,Vision insurance
3564601168,Retail Apparel and Fashion,0,Dental insurance
3587919328,Civic and Social Organizations,0,Medical insurance
3587919328,Civic and Social Organizations,0,Vision insurance
3596450056,Construction,1,401(k)
3596450056,Real Estate,1,401(k)
3596450056,Hospitality,1,401(k)
3596450056,Construction,1,Tuition assistance
3596450056,Real Estate,1,Tuition assistance
3596450056,Hospitality,1,Tuition assistance
3601423875,Truck Transportation,0,Medical insurance
3601423875,Truck Transportation,0,Vision insurance
3601423875,Truck Transportation,0,Dental insurance
3601423875,Truck Transportation,0,401(k)
3606156203,Retail,0,Medical insurance
3606156203,Retail,0,Vision insurance
3606156203,Retail,0,Dental insurance
3606156203,Retail,0,401(k)
3618024320,Entertainment Providers,1,Dental insurance
3637608593,Construction,0,Medical insurance
3637608593,Construction,0,Vision insurance
3637608593,Construction,0,Dental insurance
3637608593,Construction,0,401(k)
3643209562,Research Services,0,Medical insurance
3643209562,Research Services,0,Vision insurance
